STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
071560,99999, 20160430,   46.9,24,   37.8,24, 1020.0,24, 1010.4,24,  12.1,24,   7.1,24,  12.0, 999.9,   51.1 ,  42.4 , 0.11G,999.9, 010000,
071560,99999, 20160501,   51.3,24,   33.8,24, 1027.7,24, 1018.1,24,  12.4,24,   7.7,24,  12.0, 999.9,   61.5 ,  41.0 , 0.02G,999.9, 000000,
071560,99999, 20160502,   56.0,24,   38.3,24, 1024.9,24, 1015.5,24,  12.4,24,   3.2,24,   8.0, 999.9,   66.7 ,  44.4 , 0.00G,999.9, 000000,
071560,99999, 20160503,   54.9,24,   37.9,24, 1026.1,24, 1016.7,24,  12.1,24,   6.8,24,   9.9, 999.9,   63.0 ,  48.2 , 0.01G,999.9, 000000,
071560,99999, 20160504,   56.7,24,   36.1,24, 1026.7,24, 1017.3,24,  12.4,24,   4.2,24,   7.0, 999.9,   67.1 ,  44.6 , 0.00G,999.9, 000000,
071560,99999, 20160505,   60.5,24,   34.8,24, 1018.7,24, 1009.4,24,  12.4,24,   6.2,24,  11.1, 999.9,   70.7 ,  49.3 , 0.00G,999.9, 000000,
071560,99999, 20160506,   65.1,24,   42.4,24, 1010.8,24, 1001.6,24,  12.4,24,   4.9,24,   7.0, 999.9,   79.0 ,  50.2 , 0.00G,999.9, 000000,
071560,99999, 20160507,   66.2,24,   44.7,24, 1008.0,24,  998.9,24,  12.2,24,   5.6,24,   9.9, 999.9,   76.1 ,  56.8 , 0.00G,999.9, 000000,
071560,99999, 20160508,   68.8,24,   45.8,24, 1007.0,24,  998.0,24,  12.4,24,   6.2,24,  12.0, 999.9,   79.0 ,  55.4 , 0.00G,999.9, 010000,
071560,99999, 20160509,   65.1,24,   54.2,24, 1007.9,24,  998.8,24,  11.4,24,   7.4,24,   9.9, 999.9,   74.3 ,  59.9*, 0.00G,999.9, 010000,
071560,99999, 20160510,   60.9,24,   57.8,24, 1006.0,24,  996.8,24,   7.8,24,   4.2,24,   7.0, 999.9,   66.4 ,  58.3 , 0.17G,999.9, 010000,
